study_hours,attendance,previous_score,assignment_score,sleep_hours,final_score
4.6,68,60,57,7.3,61
3.8,81,58,65,7.6,59
7.1,81,80,83,6.7,79
3.5,55,49,51,6.3,50
5.4,81,74,74,6.7,70
8.5,93,77,93,7.8,86
2.2,59,44,48,7.6,44
5.6,80,67,72,6.8,70
5.5,79,72,65,7.9,69
6.6,94,80,67,7.4,75
2.2,54,47,53,6.8,46
1.8,57,46,50,6.7,43
7.3,83,74,73,7.8,71
5.1,72,68,73,7.4,68
5.0,79,74,71,9.0,75
4.3,89,70,78,6.5,68
3.5,69,46,59,7.4,50
4.7,81,69,68,6.7,64
6.9,74,67,76,6.5,73
4.6,65,50,57,6.9,55
8.1,98,88,96,7.6,90
7.6,81,74,72,9.5,73
3.7,69,56,49,6.7,52
6.2,88,77,77,6.3,72
1.7,60,51,55,7.1,48
8.2,88,80,81,5.6,83
6.3,93,81,82,7.3,77
2.6,73,53,49,6.9,46
7.6,96,76,79,7.9,84
7.7,77,66,77,8.0,72
7.6,83,77,78,6.9,81
9.0,93,94,92,7.4,92
5.2,73,63,69,6.4,64
4.4,70,55,55,6.0,56
4.1,71,51,49,7.2,50
3.9,67,58,56,5.9,55
5.1,74,61,65,6.8,61
5.8,82,75,68,6.4,67
5.2,76,67,71,7.6,68
6.5,97,76,81,8.7,79
4.0,69,61,68,6.1,60
7.7,95,85,89,5.9,83
4.0,84,67,73,6.9,71
9.3,100,100,100,7.7,100
6.5,84,80,78,7.4,80
4.6,65,57,54,6.6,54
3.9,63,48,50,6.7,45
5.0,90,72,72,7.5,76
4.1,63,61,63,7.9,58
7.1,93,82,79,5.7,78
5.4,76,69,85,6.9,73
4.9,75,70,64,7.3,68
4.1,65,59,55,6.2,55
1.8,62,53,47,8.2,50
4.5,64,59,64,6.5,61
5.8,90,82,81,7.2,76
5.2,90,79,77,7.6,73
3.2,55,47,40,6.4,45
4.4,80,63,60,5.7,54
6.2,78,65,71,6.8,68
3.6,69,57,61,7.7,53
5.9,79,62,63,6.9,63
5.5,74,66,55,6.4,60
4.1,66,53,55,7.6,53
5.9,90,73,74,6.9,72
5.9,83,77,71,6.8,70
7.2,94,83,78,7.4,87
7.5,83,87,78,7.9,86
2.8,56,44,50,8.7,43
3.5,68,51,53,7.6,56
5.6,91,71,77,8.1,73
5.7,85,78,62,6.8,70
5.1,82,78,71,6.4,71
10.0,100,100,100,7.9,98
5.4,78,80,75,7.3,76
6.8,94,78,81,6.5,80
6.4,93,87,84,7.2,81
7.0,83,82,68,7.5,72
4.4,71,66,64,7.3,60
7.4,87,85,81,7.7,78
3.3,66,50,66,7.2,55
5.0,74,62,63,6.6,59
3.7,82,57,63,6.6,58
6.8,77,71,61,6.2,71
8.5,100,95,88,9.0,95
2.1,51,44,47,6.7,42
6.9,89,82,77,7.1,79
2.6,57,47,52,6.0,51
4.2,68,62,55,9.4,59
7.1,97,78,85,6.5,81
5.3,85,65,77,6.8,66
3.2,61,57,55,7.2,53
4.6,59,60,60,7.4,59
8.0,90,76,77,8.0,78
3.5,65,55,51,8.4,53
4.6,84,62,77,7.5,67
5.2,68,63,66,6.3,62
5.8,74,66,61,6.8,58
8.5,97,92,90,7.8,90
7.5,88,77,71,8.9,79
2.7,53,43,47,5.6,41
5.1,74,65,69,8.1,66
4.4,67,58,66,7.1,58
7.9,91,83,79,7.9,83
3.5,68,56,49,6.9,51
4.9,79,77,70,6.4,67
5.7,93,67,72,7.8,75
6.0,80,83,83,7.8,81
2.6,71,50,52,7.6,48
3.7,74,65,57,7.0,60
4.4,67,62,62,6.5,61
3.5,63,55,69,5.7,58
8.5,97,93,94,8.1,88
4.8,86,65,73,7.5,70
3.2,61,52,56,6.1,49
7.4,96,81,81,6.9,81
7.6,95,99,98,7.2,100
7.3,89,86,77,6.1,81
3.3,53,47,49,6.1,45
3.5,73,61,66,6.1,54
8.7,97,81,81,7.0,88
4.2,66,54,65,6.4,54
5.5,69,78,74,5.9,68
6.6,87,84,74,8.9,78
3.9,68,53,60,7.9,59
5.1,78,66,66,6.5,67
1.0,44,30,30,6.7,30
2.7,59,57,53,7.2,51
4.9,77,66,64,8.0,63
2.0,68,57,53,6.2,51
8.1,88,86,91,8.3,88
2.0,61,45,40,6.4,44
3.9,69,62,57,5.9,59
6.3,78,71,74,7.7,73
8.6,96,86,87,8.4,87
3.0,57,43,46,8.9,47
6.5,88,87,78,6.4,79
5.0,77,70,63,7.7,63
4.3,60,50,46,6.6,48
6.1,77,79,74,7.8,74
7.2,83,74,68,6.0,75
4.4,64,59,56,6.0,55
5.5,81,68,69,6.5,65
4.3,75,64,64,7.1,62
5.5,70,65,79,6.6,69
6.3,82,76,70,7.8,73
8.6,100,81,95,8.2,92
3.6,57,53,56,7.3,54
8.5,100,91,93,8.8,91
1.0,56,46,43,7.0,38
3.6,79,64,64,6.1,58
6.6,83,74,77,8.3,77
4.9,77,68,79,6.7,73
2.6,77,57,62,7.7,56
5.1,83,70,67,8.3,67
6.1,76,50,59,7.4,63
4.1,70,64,53,5.8,58
7.3,83,80,79,6.5,79
5.9,77,67,78,8.2,68
3.9,71,53,52,6.8,55
7.5,90,86,75,7.3,78
5.5,88,68,73,7.8,68
6.9,90,74,75,7.8,75
6.6,77,80,73,7.4,73
3.2,72,57,55,6.8,53
4.9,65,55,54,6.7,51
6.4,84,78,74,7.9,78
5.8,86,71,79,7.7,77
5.5,87,71,62,6.9,63
4.8,94,73,62,8.0,71
7.5,95,87,82,7.3,82
4.1,69,60,63,6.3,61
6.9,86,82,74,6.6,77
5.2,79,64,63,6.3,64
4.8,73,59,65,6.8,61
7.8,99,84,75,8.3,86
7.7,88,87,81,6.6,80
7.1,89,74,81,7.4,80
7.6,96,84,84,6.8,87
4.3,79,69,73,6.9,69
5.7,89,76,72,6.0,78
4.4,70,59,69,6.9,60
5.4,78,76,73,7.0,73
4.8,70,74,65,7.5,65
5.4,80,69,69,7.3,71
6.6,88,72,76,6.3,74
3.7,69,49,62,7.8,54
9.3,100,97,91,7.7,98
3.4,65,57,51,7.1,51
1.6,66,52,56,6.8,45
6.6,85,83,81,6.9,78
6.5,85,76,83,7.4,79
5.5,88,71,84,7.6,79
6.8,89,79,75,5.8,77
6.2,75,70,71,6.7,73
4.4,66,48,51,6.7,48
5.2,70,74,72,7.3,67
5.0,67,60,60,7.9,59
7.1,93,86,83,6.7,83
4.7,78,60,63,6.7,61
3.3,70,50,49,6.5,51
4.4,73,62,66,6.4,60
5.7,82,75,64,6.9,69
4.3,67,66,59,7.6,60
3.8,71,58,61,6.1,55
5.6,82,69,72,7.5,69
5.9,82,66,80,5.8,71
5.1,68,65,66,6.5,62
5.0,61,57,59,6.7,57
4.6,85,77,71,8.5,71
1.0,57,46,48,6.6,41
3.3,56,54,42,5.1,49
2.9,72,60,54,5.4,51
4.7,72,63,63,7.1,60
4.9,86,69,63,7.7,73
6.6,98,86,88,7.7,82
7.1,91,81,78,7.4,76
5.4,68,65,58,8.0,63
4.8,83,64,70,6.7,61
1.6,66,52,58,7.6,49
4.8,75,67,69,5.8,70
5.0,74,54,63,6.3,55
4.7,72,73,75,5.7,63
3.8,69,51,60,6.7,51
6.1,78,70,76,7.2,74
8.4,89,82,85,7.5,87
5.1,68,58,68,7.1,60
5.2,87,67,79,6.4,73
7.3,82,74,75,7.1,79
4.4,80,69,72,5.8,71
5.6,77,68,69,8.2,67
4.6,69,68,68,6.9,58
5.1,73,70,66,6.7,63
3.2,74,57,59,8.2,55
5.1,77,67,60,6.1,62
7.3,80,69,72,6.3,72
6.9,95,93,83,6.5,88
5.8,91,88,82,7.2,84
10.0,100,90,100,7.9,96
3.7,75,52,61,7.5,59
6.3,86,78,69,9.3,75
6.3,73,66,80,5.3,70
8.7,100,100,99,8.0,100
5.0,69,53,54,6.5,55
4.2,62,64,57,6.5,62
3.8,65,63,61,6.5,54
2.9,53,38,36,5.9,36
3.8,70,64,62,8.3,60
4.4,68,61,55,7.6,58
5.7,75,67,68,7.1,70
6.7,80,69,70,8.2,71
9.7,95,94,87,6.3,88
6.9,93,84,81,6.2,83
3.6,75,59,63,5.2,60
3.9,57,48,58,6.4,46
5.6,78,71,78,7.3,72
4.2,54,48,52,6.9,45
8.6,96,92,90,7.6,89
7.1,91,91,88,6.2,83
4.5,64,55,56,7.6,57
1.2,52,45,41,6.9,39
7.0,88,92,82,8.0,81
5.8,77,74,71,5.6,72
7.0,92,83,89,7.6,80
1.6,54,47,49,5.8,43
4.5,71,61,65,6.7,59
6.0,74,68,64,7.5,65
5.8,76,67,70,7.2,69
5.1,80,62,61,6.3,63
5.8,91,66,80,7.2,76
2.3,58,55,53,5.7,48
6.0,79,66,64,8.0,67
5.2,83,68,72,7.0,68
6.0,77,82,79,8.1,77
7.4,90,74,75,6.8,78
3.6,71,50,53,6.5,51
2.8,53,53,43,6.2,40
9.0,88,82,74,8.1,83
5.3,86,69,73,6.6,71
4.5,69,56,61,7.5,56
8.0,98,92,90,7.1,87
5.6,80,69,61,5.5,69
8.4,93,78,82,6.9,84
5.7,71,66,59,6.2,62
9.3,100,93,100,7.5,93
9.1,100,91,87,6.5,88
4.5,73,65,70,7.8,68
6.4,88,82,85,7.2,81
5.6,77,69,73,7.1,68
6.3,96,90,81,7.9,84
4.9,68,55,57,7.7,55
5.7,85,82,73,7.2,78
7.0,95,84,83,6.7,86
1.8,54,47,42,5.3,39
3.3,66,52,44,6.3,46
2.1,47,44,30,6.2,30
5.3,74,65,65,7.1,60
6.1,85,77,75,7.0,71
7.8,96,97,86,8.0,90
5.5,76,72,72,6.6,68
8.0,96,92,95,7.4,88
3.8,65,43,48,7.8,47
2.5,54,38,43,7.0,41
5.6,68,67,70,7.0,67
6.4,90,73,67,6.7,67
6.0,84,64,69,6.6,68
1.6,46,39,43,6.0,33
4.1,79,72,70,6.6,69
3.1,59,52,42,7.4,48
5.9,86,72,74,7.1,70
5.5,83,72,69,6.1,67
3.9,65,51,56,8.3,52
5.1,67,58,63,7.3,54
3.3,61,51,60,5.8,53
5.3,72,64,65,6.7,63
8.1,84,75,79,7.4,81
3.6,65,53,60,8.3,52
7.9,79,72,76,6.3,74
4.6,74,48,67,7.8,55
2.5,75,64,59,8.1,55
5.5,73,70,61,6.6,61
3.6,66,51,48,6.7,52
5.1,73,59,54,6.2,56
3.5,65,46,55,6.7,50
8.6,100,100,100,7.5,96
4.4,81,75,77,7.6,68
3.8,71,58,62,7.8,58
5.0,73,74,76,6.5,71
4.6,80,66,64,5.5,60
5.2,79,59,60,7.0,63
7.5,81,74,80,7.5,75
6.8,86,78,80,7.5,77
3.4,74,58,61,6.7,58
4.5,69,58,62,7.1,57
5.5,79,63,66,8.3,66
1.0,61,34,43,6.9,36
2.4,55,46,53,6.5,46
7.7,86,82,89,7.0,78
7.6,98,87,94,7.3,84
5.2,78,58,67,8.4,65
6.2,83,79,74,7.1,77
6.1,88,63,76,7.1,69
10.0,100,100,100,7.3,99
6.9,94,88,88,8.2,86
5.5,72,64,61,8.6,65
3.2,74,43,56,7.3,45
3.5,68,43,43,6.8,43
5.3,76,70,73,7.2,68
4.0,65,52,58,5.0,55
3.3,64,45,42,7.4,51
3.0,67,64,61,7.1,57
2.0,64,55,51,7.2,45
7.2,97,87,95,6.9,89
7.7,78,73,80,7.0,80
4.8,77,66,70,6.8,66
9.7,91,87,84,8.2,86
4.9,75,70,66,6.8,68
3.8,74,53,54,8.6,56
9.0,89,90,92,7.7,88
7.6,88,82,83,6.2,83
4.8,63,56,50,6.8,56
5.7,73,64,70,6.5,69
4.3,70,54,46,5.2,51
3.1,62,46,44,8.1,45
7.4,91,85,76,7.8,84
8.3,100,91,88,7.9,87
2.1,59,48,42,7.0,44
6.2,81,75,77,6.1,70
3.9,64,56,58,6.6,57
4.0,67,55,63,7.7,56
4.6,85,60,63,6.1,65
4.3,73,55,58,4.9,57
5.3,71,70,72,6.9,64
4.7,60,53,56,6.8,57
4.9,83,76,66,7.3,73
5.0,79,63,72,7.7,69
4.3,77,71,62,7.6,62
2.3,65,47,52,7.1,46
4.1,69,61,59,7.9,59
6.5,88,79,74,6.0,74
7.2,83,71,73,7.6,78
3.9,54,55,56,7.4,53
4.7,77,74,71,6.1,61
7.9,82,69,74,6.0,75
3.0,58,46,43,6.2,43
6.6,98,65,80,6.7,75
3.8,71,54,61,7.6,55
5.6,82,82,85,6.7,80
3.6,72,54,63,6.3,59
2.7,58,37,49,6.2,43
3.6,60,43,40,7.7,43
6.4,81,76,72,7.1,73
5.3,90,63,71,7.0,68
2.8,60,50,53,6.8,46
6.4,87,82,77,8.3,80
1.0,52,51,50,6.2,44
5.3,79,66,69,8.1,71
2.9,58,45,48,7.0,48
3.7,67,66,63,6.8,58
4.2,76,74,66,9.1,69
4.0,72,58,57,6.1,54
4.1,77,58,61,6.7,60
6.2,83,81,81,6.3,76
2.2,70,58,64,7.7,53
6.7,83,80,75,8.6,78
4.4,57,57,62,8.2,50
7.3,82,78,67,8.2,70
7.5,93,83,85,7.2,83
1.0,59,38,36,6.3,36
4.1,70,57,60,5.6,56
5.5,77,78,75,8.8,69
5.0,72,70,65,7.4,63
6.4,87,68,75,6.8,73
5.0,80,58,59,8.0,62
5.3,70,66,75,6.3,67
4.8,66,59,70,7.4,65
6.7,100,85,88,7.2,86
5.1,82,81,67,7.7,69
5.6,77,64,72,7.1,66
4.7,75,61,61,5.9,57
5.0,58,63,57,7.1,58
3.9,72,61,64,7.9,63
7.0,83,72,71,7.2,75
4.3,77,56,65,7.6,64
5.7,75,72,67,6.3,67
8.4,100,93,100,7.5,98
5.1,83,70,76,6.8,70
5.2,74,67,65,7.6,69
7.9,87,88,88,7.4,86
4.3,70,61,60,7.6,61
1.6,48,39,44,7.6,42
3.7,68,57,49,7.5,52
1.0,59,42,49,6.9,42
4.2,72,66,63,6.2,64
5.8,77,66,66,7.1,66
7.3,90,96,89,7.0,85
6.0,79,73,76,6.9,78
3.9,74,65,62,6.8,59
7.0,100,74,76,6.5,78
1.2,45,37,37,5.1,36
4.5,87,67,66,6.6,64
7.4,91,75,87,7.4,79
2.0,61,43,45,5.7,42
6.7,100,79,87,7.3,78
5.9,83,80,74,8.7,74
5.3,74,67,58,7.8,63
5.6,84,84,77,8.5,76
9.3,100,94,100,7.9,93
5.8,85,70,70,8.1,75
6.1,77,65,77,6.6,70
4.5,65,58,66,6.5,63
3.4,66,51,61,4.7,52
6.1,83,84,77,8.2,75
3.7,66,53,52,8.2,53
4.6,84,72,66,6.7,66
2.3,69,63,62,6.8,53
6.4,83,83,77,6.6,81
6.4,81,66,63,7.5,66
5.4,94,87,82,8.2,76
3.6,60,64,62,5.6,60
5.1,71,59,63,7.4,60
4.9,66,57,61,6.7,57
4.4,78,62,64,7.1,57
5.4,79,71,79,7.5,76
6.4,77,74,77,7.1,70
4.5,69,51,60,6.8,56
6.3,84,87,87,7.1,84
7.1,87,86,92,8.1,87
5.6,79,76,69,7.5,70
7.9,99,90,92,7.7,86
3.9,65,53,56,5.9,51
4.1,51,54,53,6.5,51
2.2,60,37,47,7.5,40
7.7,100,86,84,7.4,86
6.2,88,76,77,7.8,78
4.0,71,67,58,8.5,63
6.3,79,70,78,8.0,70
3.1,63,53,51,6.9,55
9.5,100,100,100,7.2,100
7.7,82,72,68,5.1,72
5.6,75,65,75,7.0,71
6.0,86,76,65,7.0,77
5.8,85,79,74,7.5,71
6.4,87,74,71,7.0,72
3.9,71,50,55,6.7,47
5.0,87,75,82,5.8,74
9.2,100,85,89,6.7,90
7.2,100,86,90,7.8,87
9.4,98,97,91,8.8,93
5.0,67,56,67,6.9,55
3.1,72,50,52,7.2,52
5.9,79,68,63,7.8,70
5.3,75,62,74,6.5,65
7.8,88,80,85,7.6,84
2.5,58,46,38,6.2,37
7.4,98,86,86,8.1,87
4.5,76,64,68,7.2,63
5.2,73,64,66,7.3,62
3.1,73,55,51,6.3,50
1.9,62,45,33,7.3,38
6.0,88,77,81,8.9,79
5.6,83,70,63,6.3,63
4.3,56,48,42,6.6,45
2.1,63,51,38,7.0,43
4.6,82,60,67,7.7,61
9.2,96,90,91,7.0,96
4.7,70,59,63,4.8,57
2.8,56,46,54,7.9,46
4.0,69,60,68,7.7,58
5.0,70,59,72,5.7,67
1.0,43,30,30,6.1,30
5.8,69,67,67,8.3,64
5.6,74,67,58,8.2,66
8.3,90,75,76,8.0,80
8.9,95,95,92,7.3,93
7.5,98,85,86,7.4,85
4.9,76,65,65,6.9,62
3.0,69,48,56,7.8,52
10.0,100,100,100,6.9,98
5.1,82,69,78,6.5,75
5.3,72,67,67,7.9,62
6.1,81,58,63,7.1,68
4.9,80,70,72,8.2,68
5.7,78,74,62,6.5,68
5.1,64,58,67,6.9,63
4.1,66,56,59,6.3,54
3.7,80,68,65,7.1,65
3.8,66,61,59,5.8,50
4.8,71,62,62,6.6,59
5.4,71,63,69,6.0,62
4.0,78,66,62,7.6,59
7.6,89,90,96,8.0,89
1.0,48,30,30,5.2,30
7.5,93,84,83,8.4,86
7.3,88,89,88,9.3,87
1.2,55,41,33,6.7,34
4.3,74,58,66,6.5,61
3.9,70,65,58,9.3,60
3.8,55,47,53,5.8,50
3.6,58,56,53,7.0,54
4.1,65,52,56,7.0,53
9.4,90,91,97,8.5,91
7.6,89,85,85,7.6,82
7.2,91,84,86,7.0,82
6.8,89,73,77,6.5,75
3.2,62,50,50,6.6,49
3.6,69,60,68,6.2,61
6.3,87,79,71,7.2,74
2.2,64,52,47,6.4,47
7.3,87,74,81,6.0,78
4.4,76,74,61,8.1,63
4.7,65,63,59,6.6,56
6.7,89,82,71,6.2,72
5.8,85,73,72,7.1,70
5.0,68,64,63,7.1,63
7.0,90,87,85,5.9,81
3.9,64,57,58,7.1,55
5.4,84,80,79,6.4,76
6.4,86,79,75,8.6,78
6.0,80,61,63,7.5,62
5.1,86,69,75,6.8,73
2.5,55,51,57,6.3,51
7.2,91,84,81,7.2,79
5.0,81,64,63,7.6,62
4.5,73,64,56,7.0,62
7.4,95,87,76,7.1,82
4.4,79,53,61,7.0,53
3.4,65,44,52,6.3,44
2.7,60,45,50,6.5,45
6.1,89,77,76,5.6,72
3.4,62,47,57,7.6,50
9.7,98,97,90,7.7,95
1.4,50,40,44,6.1,42
7.6,100,91,91,9.0,89
6.4,75,64,68,7.2,70
4.9,84,60,69,6.3,68
2.7,73,60,62,7.7,60
6.5,75,64,75,7.5,70
4.8,78,71,68,7.4,62
7.1,80,82,83,7.0,81
5.6,81,82,80,7.5,79
5.6,83,78,75,6.9,73
5.0,70,61,66,7.5,67
4.8,77,66,68,5.6,66
6.1,90,75,77,6.8,77
1.9,54,50,47,8.1,47
3.3,56,42,50,6.2,46
7.0,93,70,77,6.8,70
4.9,89,67,70,6.8,67
5.6,75,67,51,6.1,63
4.9,82,69,69,5.3,64
6.4,88,76,70,7.0,73
4.5,67,55,68,7.1,57
5.1,65,47,58,6.9,59
5.4,86,73,65,7.0,73
3.2,74,50,55,6.9,50
5.9,85,65,69,8.0,69
1.9,52,44,47,6.6,40
7.6,99,85,83,6.8,86
4.9,80,73,79,7.0,73
4.9,78,69,68,7.6,69
6.2,91,80,81,8.4,80
8.9,100,89,84,6.9,96
8.2,93,76,85,7.4,80
1.8,57,38,45,7.0,36
2.8,64,51,53,6.1,48
4.1,70,60,60,7.0,54
6.1,80,68,70,5.9,65
5.5,71,70,82,5.8,68
4.1,67,56,57,7.2,53
6.2,80,61,71,6.8,65
4.2,62,57,53,7.1,55
4.2,72,64,56,7.0,57
3.4,59,41,49,6.0,44
1.6,75,52,61,6.9,54
3.2,69,49,49,5.8,47
3.0,63,58,54,8.0,52
5.8,89,80,80,6.2,78
3.8,65,51,53,6.8,47
10.0,100,96,100,6.8,92
6.0,84,74,68,7.7,72
6.2,75,78,76,6.9,75
4.8,61,56,53,6.5,59
7.4,89,77,81,7.9,80
5.3,73,60,55,7.0,61
5.9,74,69,73,7.5,69
9.9,100,100,100,6.8,100
3.9,73,69,68,6.0,67
7.1,92,84,79,7.4,76
3.3,73,57,60,6.7,57
6.7,76,63,62,7.6,71
8.3,100,97,91,7.4,93
4.2,67,61,64,7.1,64
8.8,98,90,96,6.2,91
6.5,84,81,78,8.8,78
5.4,67,57,56,6.9,58
5.9,84,73,79,7.8,69
7.1,81,78,81,6.6,75
5.8,82,69,66,7.5,65
1.4,57,47,50,5.7,45
3.5,67,49,58,7.3,55
4.7,73,59,70,6.8,63
4.8,76,58,62,7.1,62
5.8,87,75,62,7.8,69
4.5,84,69,72,6.1,70
2.7,58,47,51,6.3,46
4.8,76,68,66,7.5,65
6.8,79,71,72,8.9,72
6.3,81,77,88,7.1,80
6.1,88,80,81,7.8,77
6.5,83,80,83,7.2,81
5.5,76,70,71,8.7,66
5.3,74,67,58,5.7,59
3.1,58,49,45,6.8,47
4.7,85,75,73,5.9,70
5.7,77,68,69,5.1,66
5.6,78,72,71,7.4,72
3.4,57,48,52,7.0,47
3.4,64,52,53,6.7,50
6.6,85,80,77,7.2,81
4.9,79,66,70,9.6,71
5.9,76,77,68,7.0,74
6.0,76,63,59,7.5,63
5.3,79,63,72,6.6,69
8.2,89,75,83,7.5,79
4.2,84,53,61,6.8,56
4.9,80,63,63,6.8,57
3.3,66,61,59,8.5,61
3.2,71,57,61,8.0,54
3.5,64,65,57,7.1,56
5.8,79,70,68,5.3,65
4.7,67,52,64,6.7,59
6.4,97,87,91,9.5,86
4.2,64,58,54,6.7,51
4.5,74,60,69,7.9,64
4.5,69,63,53,8.2,54
8.9,100,84,91,7.6,88
6.2,78,70,67,6.5,63
6.9,99,76,83,5.4,76
1.9,63,39,47,7.4,43
4.2,83,69,78,6.5,64
6.3,90,79,76,7.4,73
5.2,80,67,72,6.1,67
6.4,80,77,81,7.1,75
4.2,69,58,60,7.0,62
7.8,98,88,86,7.6,92
9.2,100,99,95,6.7,94
4.1,66,63,63,8.0,61
4.5,71,58,62,6.5,61
8.1,100,92,89,6.1,88
7.3,100,84,90,7.3,83
5.2,70,62,65,7.0,62
4.4,77,66,66,7.1,63
4.7,72,65,59,8.1,60
3.3,52,47,54,6.6,49
3.7,61,52,50,6.8,48
4.1,73,57,57,6.0,53
4.0,66,51,60,7.6,55
4.7,75,63,59,7.2,62
5.9,78,69,72,6.8,66
7.2,100,94,87,5.9,90
3.5,73,55,51,8.1,49
6.9,100,77,87,6.3,81
4.7,74,63,62,6.6,61
5.0,78,64,64,7.4,62
5.1,78,74,77,6.3,69
2.8,71,55,56,5.7,57
6.0,76,67,73,5.5,66
5.6,80,76,75,7.7,79
5.4,77,77,77,6.8,74
6.6,78,75,62,9.5,71
9.0,100,100,99,6.8,98
4.7,66,57,57,6.2,63
4.5,68,54,63,6.5,55
3.6,67,56,48,7.2,49
5.4,75,61,72,6.6,63
3.2,64,63,62,7.5,57
8.0,92,79,85,6.6,79
8.5,100,85,92,6.3,89
3.7,68,58,71,5.5,64
4.7,63,50,61,5.2,55
5.9,82,76,79,6.8,74
4.4,76,56,61,6.7,57
6.5,86,75,76,6.7,77
5.5,77,68,69,8.1,66
3.0,61,43,44,7.8,49
8.5,90,89,86,7.1,92
7.2,100,91,86,6.0,87
5.0,72,57,59,6.5,58
3.3,71,59,55,6.5,57
6.4,76,72,73,6.6,74
6.6,77,78,72,6.6,71
5.6,88,77,78,6.7,74
8.5,100,99,93,7.2,91
4.1,72,59,79,6.6,65
